989489610,epcjones,Evan Jones
10224712,pcalcado,Phil Calçado
2252942868,CMUDB,CMU Database Group
430543248,hannahmitt,Hannah Mittelstaedt
57485334,juhosnellman,Juho Snellman
9323762,robsc,robsc
90877703,ailamaki,Anastasia Ailamaki
13251382,mattmight,Matt Might
228003330,ffx,Felix Fung
6073472,jsomers,James Somers
342934885,dougwoos,Doug Woos
28136386,jamwt,Jamie Turner
30923,rands,rands
3034250186,alvinkcheung,Alvin Cheung
25957130,smehmood,Sajid Mehmood
204123892,krlis1337,Carlo Curino
2761214029,dtbpoker,Dan Bentley Poker
49327996,nkeywal,Nicolas Liochon
164398458,cvarming,Carsten Varming
1586645468,TonyPrintezis,Tony Printezis
113309454,wichtounet,Baptiste Wicht
164217471,normanmaurer,Norman Maurer
869145636,Frankmcsherry,Frank McSherry
22732488,karthikz,Karthik
18205202,utkarsh,Utkarsh Srivastava
150185852,baconmeteor,Maciej Ceglowski
423065127,Love2Code,Maxime Chevalier
19044984,jamesiry,James Iry
17017396,ilstavrachi,Stavros Harizopoulos
15216088,usmanm,Usman Masood
48381760,ThaLobsta,Andrew Scheidecker
3180093973,dapper_hacker,Dapper Hacker
2147798785,surprisesnackny,SurpriseSnacksNYC
1372355845,johnesmet,John Esmet
331189079,dan_crankshaw,Dan Crankshaw
76561387,nehanarkhede,Neha Narkhede
53205685,bx,Boaz Avital
87973537,johnhugg,John Hugg
434959322,arvind__t,Arvind Thiagarajan
372480639,justmadhu,Madhu ⚡
33055947,nitayj,Nitay Joffe
2586997621,justkelly_ok,Kelly Ellis
81697807,fgcallari,Francesco G. Callari
63882806,schainan,Samir Chainani ⚡
3037040930,boredvijayp,Bored Vijay
533539874,__apf__,Adrienne Porter Felt
15977209,MatrixPartners,Matrix Partners
403070695,JillWetzler,Jill Wetzler
1022008639,nitsanw,Nitsan Wakart
5848122,emax,dr electronic max
536965103,haxor,Brett Slatkin
73774650,davidcrawshaw,David Crawshaw
81129050,stefanusdutoit,Stefanus Du Toit
102226744,kylegalloway,⚡️Kyle Galloway⚡️
2877049432,Bluecore,Bluecore
15211564,sam,Sam Luckenbill
277019419,angryblackmad,Angry Blackmad
2977389652,ArielWeisberg,Ariel Weisberg
167418153,jstnlvndski,Justin Levandoski
17459118,KentonVarda,Kenton Varda
33346676,larsonite,Brian Larson
46440718,squarecog,Dmitriy Ryaboy
211269710,kayousterhout,Kay Ousterhout
14070439,arnabdotorg,Arnab Nandi
820702,fooljulian,Julian Marinus
2732562482,drgarryjones,Garry Jones
1862469924,OC_AD,OC Arch+Design
14486697,paraga,Parag Agrawal
24396043,stevesalevan,Steve Salevan
40684667,peterseibel,Peter Seibel
261034930,kdspaul,kiran paul
18858270,Sajma,Sameer Ajmani
257331616,randyshoup,Randy Shoup
82266082,virus_dave,Dave Nicponski
15583376,giltene,Gil Tene
14473548,magnusvk,Magnus von Koeller
490923391,LugubriousDan,Lugubrious Dan
1430201132,FlyTheDamnPlane,Aditya
19379322,alex_senxu,Alex Sen Xu
100347950,naz_erkan,Ayşe Naz Erkan
478206458,fox_harold,Harold Fox
15153534,hongrich,Rich Hong
126122693,erikfroese,frosé
9213492,gdickinson,Guy Dickinson
1345574083,badiib,Behrooz Badii
17056418,dschobel,Daniel Schobel
63491838,nepthar,Jordan Parker
96419510,hacks,Ad Nauseam
2705321,yschimke,Yuri Schimke
57442248,alambert,Alex Lambert
198873588,_v,Vardges Avetisyan ⚡️
45700736,tonic888,Tanya Lattner
14162967,trisha_gee,Trisha Gee
52179618,akaptur,Allison Kaptur
57502401,zatlyn,Michelle Zatlyn
37235598,sojoodi,Sahand Sojoodi
17264476,Spacekatgal,Brianna Wu 
28325059,xaprb,Baron Schwartz
67866171,mituzas,Domas Mituzas
2542992764,WiredTigerInc,WiredTiger, Inc
15114106,markcallaghan,markcallaghan
40545671,Gilad_Bracha,Gilad Bracha
25103,jessitron,Jessica Kerr
27546319,roboticwrestler,Elena Glassman
21808332,scode,Peter Schuller
7698,marius,marius eriksen
962394086,MsSapone,Marcela
173630577,bcantrill,Bryan Cantrill
121656414,jfelchner,Jeff Felchner
6603532,b0rk,Julia Evans
10695352,jtbetz,Jonathan Betz
52061552,viktorklang,Viktor Klang
769254,paultoo,Paul Buchheit
1747381,adam_messinger,Adam Messinger
12200482,deesix,Dominic Preuss
15845390,tdierks,Tim Dierks
50192685,ahilss,Adam Hilss
11352392,adamwarski,Adam Warski
116988614,foundersatwork,Jessica Livingston
8285392,raffi,uɐᴉɹoʞᴉɹʞ ᴉɟɟɐɹ
429567341,Steve_Yegge,Steve Yegge
17493187,aileenlee,aileenlee
2451739231,SpikingHawk,Spiking Hawk
282705587,AllSchuckUp,Adam Schuck
15663547,Obdurodon,Jeff Darcy
18919061,garrettwu,Garrett Wu
6667592,eliothorowitz,Eliot 
606105909,vj_chidambaram,Vijay Chidambaram
10460032,bolinfest,Michael Bolin
55071394,a_adam_wilson,A. Adam Wilson
14146300,lara_hogan,Lara Hogan
9980812,igrigorik,Ilya Grigorik
19157755,Haoyuan,Haoyuan Li
155614338,dmbaggett,David Baggett
13368452,ultrasaurus,Sarah Allen
1686323288,TimSweeneyEpic,Tim Sweeney
10179552,mrb_bk,mrb
12027042,jamesgolick,James Golick
36588310,hmslydia,Lydia Chilton
13826102,pauldix,Paul Dix
15400815,preshing,Jeff Preshing
61166763,kirkwy,Kirk Wylie
37975275,laparisa,Security Princess
13597382,ejn,Erik Nordlander
10809412,rakyll,Burcu Dogan
809642,ImJasonH,Jason
774757,polvi,Alex Polvi
27921943,Archivd,Carlos Bueno
47494539,kellabyte,Kelly Sommers
28828401,tsantero,Tom Santero
71152028,bipartite,Xi Wang
4423901,thirteen,Leonard Lee
16581849,yoni_goldberg,Yoni Goldberg
27395690,AntoineGrondin,Pokémaster
17066597,jonathan_oliver,Jonathan Oliver
20719205,caitie,Caitie McCaffrey 
113897898,nirmeshm,Nirmesh Malviya
293815131,Shapiro,Julian Shapiro
103914540,samkottler,Sam Kottler
9044882,mjibson,Matt Jibson
1605,sama,Sam Altman
15113373,edmondlau,Edmond Lau
822302706,hyc_symas,Howard Chu
815031,cscotta,C. Scott Andreas
774300,ak,Akshay
212702867,kmin,Kathryn Minshew
7624272,pquerna,Paul Querna
128382582,franziroesner,Franzi Roesner
2379441,bmizerany,Blake Mizerany
16160760,peterbourgon,✕✕✕✕✕
94860262,gniemeyer,Gustavo Niemeyer
7160752,rcrowley,Richard Crowley
19395453,maxtaco,Max Krohn
16244082,xexd,Eddie Kohler
15058658,ryanbetts,ryan betts
496607065,henriques_david,David Henriques
803694,mikeolson,Mike Olson
20454964,davegirouard,Dave Girouard
21392407,andyhpalmer,Andy Palmer
10720412,tcampos,tcampos
1957401379,MarcJBrooker,Marc Brooker
774356490,stanreiss,Stan Reiss
265817210,ToddMostak,Todd Mostak
5750612,jonshea,Jon Shea
294127712,BrandonPhilips,Brandon Philips
14137255,benbjohnson,Ben Johnson
14309166,enneff,Andrew Gerrand
16402446,jgrahamc,John Graham-Cumming
10051,nelson,Nelson Minar
23650964,robfig,Rob Figueiredo
14135007,clipperhouse,Matt Sherman
6656012,krarick,Keith Rarick
14110752,eliast,Elias Torres
13027552,emilsit,Emil Sit
399412477,el33th4xor,Emin Gün Sirer
9989082,aalevy,amit levy
18496432,nrrrdcore,Julie Ann Horvath
16038968,targyros,Tasso Argyros
21268655,okvivi,Octavian Costache
22455722,_rsc,Russ Cox
123440561,ryanhaywood,Ryan Haywood
175624200,ID_AA_Carmack,John Carmack
10483202,pamelafox,Pamela Fox
15258270,gadishamia,Gadi Shamia
146363,mattm,Matt Mohebbi
115494880,wesmckinn,Wes McKinney
15988857,lehrblogger,Steven Lehrburger
852041,nsanch,Neil Sanchala
426067300,PatHelland,Pat Helland
42080283,ongardie,Diego Ongaro
15876545,lukethompson,Luke Thompson
14683355,jay_gee,Jennifer Gilbert
14199207,elbeldner,Ellen Beldner
9580822,postwait,Theo Schlossnagle
1543828177,el_bhs,Ben Sigelman
41723062,brianfcooper,Brian Cooper
80111051,tcondie,Tyson Condie
16806840,tmcallaghan,Tim Callaghan
66866504,kotsoft,Grant Kot
247943631,jeffrey_heer,Jeffrey Heer
131024592,zkasheff,Zardosht Kasheff
637533,coda,Hwæt Baby Coda Hale
16217711,danielsmyers,danielsmyers
14435433,mdwelsh,Matt Welsh
15749737,ChristopherFong,Christopher Fong
316287871,DataCereal,Manasi Vartak
428766654,DanielTahara,Daniel Tahara
703973,jrk,jrk
17241581,wmacura,Wiktor Macura
17773446,pgbovine,Philip Guo
36994785,moot,moot
9898542,mdkail,mike d. kail
1093498753,BvCdP,Brad de Peyster
16407251,richminer,Rich Miner
464493,antrod,Antonio
227194813,stephenltu,Stephen Tu
520685404,dukope,Lucas Pope
14070968,nicksantos,Nick Santos
255617445,worrydream,Bret Victor
9203182,nolimits,adora cheung
260318503,Jumbosaur,Andrew Chatham
271516623,jeanqasaur,Jean Yang
102487395,fries_no_r,Fayez
48485024,astrieanna,Leah Hanson
15055314,jarrod_dixon,Jarrod Dixon
